Date,Open,High,Low,Close,Daily_Return,Volume
06/09/2018," Rp562,028 "," Rp562,028 "," Rp560,111 "," Rp560,111 ",0.006476131,7
07/09/2018," Rp555,625 "," Rp555,625 "," Rp553,214 "," Rp553,446 ",-0.011900313,29
10/09/2018," Rp552,247 "," Rp552,247 "," Rp552,247 "," Rp552,247 ",-0.002165948,11
11/09/2018," Rp553,876 "," Rp556,621 "," Rp553,876 "," Rp556,202 ",0.007161698,21
12/09/2018," Rp560,707 "," Rp560,707 "," Rp560,568 "," Rp560,568 ",0.007849398,37
13/09/2018," Rp564,644 "," Rp564,644 "," Rp563,049 "," Rp563,988 ",0.006100477,22
14/09/2018," Rp562,547 "," Rp562,547 "," Rp562,547 "," Rp562,547 ",-0.002553758,1
17/09/2018," Rp561,435 "," Rp561,435 "," Rp561,435 "," Rp561,435 ",-0.001977328,0
18/09/2018," Rp562,616 "," Rp562,616 "," Rp561,725 "," Rp561,725 ",0.000516098,2
19/09/2018," Rp563,231 "," Rp563,231 "," Rp563,231 "," Rp563,231 ",0.002681663,0
20/09/2018," Rp564,717 "," Rp564,717 "," Rp564,717 "," Rp564,717 ",0.002638703,0
21/09/2018," Rp560,343 "," Rp560,343 "," Rp560,343 "," Rp560,343 ",-0.007745679,0
24/09/2018," Rp561,872 "," Rp561,872 "," Rp561,872 "," Rp561,872 ",0.002729246,0
25/09/2018," Rp566,740 "," Rp567,070 "," Rp565,750 "," Rp565,750 ",0.006900796,21
26/09/2018," Rp558,890 "," Rp558,890 "," Rp558,890 "," Rp558,890 ",-0.012124591,17857
27/09/2018," Rp558,864 "," Rp560,127 "," Rp552,268 "," Rp553,110 ",-0.010343058,4947
28/09/2018," Rp556,704 "," Rp561,510 "," Rp555,903 "," Rp561,321 ",0.014845775,404
01/10/2018," Rp560,027 "," Rp560,027 "," Rp557,301 "," Rp557,912 ",-0.006072613,180
02/10/2018," Rp565,787 "," Rp571,952 "," Rp564,506 "," Rp570,245 ",0.02210423,451
03/10/2018," Rp569,257 "," Rp569,257 "," Rp566,417 "," Rp567,221 ",-0.005301531,76
04/10/2018," Rp571,898 "," Rp574,425 "," Rp570,896 "," Rp570,896 ",0.006478537,496
05/10/2018," Rp574,620 "," Rp578,556 "," Rp574,524 "," Rp576,588 ",0.009970541,34
08/10/2018," Rp578,419 "," Rp578,419 "," Rp570,087 "," Rp570,424 ",-0.010690409,250
